item_id,unit,Sep1,Sep8,Sep15,Sep22,Sep29,Oct6,Oct13,Oct20,Oct27,Nov03,Nov10,Nov17,Nov24,Dec01,Dec08,Dec15,Dec22
u0000,kg,5.5,2.9,9.65,5.65,9.85,9.85,3.75,4.55,7.7,3.25,12.3,9.45,6.65,5.6,9.85,9.6,5.7
u0001,kg,1.76,7.568,10.56,3.872,8.712,2.288,7.128,8.8,10.472,1.408,11,8.008,5.016,4.752,7.568,8.624,8.624
u0002,kg,6,5.1,0.8,4.45,1.4,2.75,4.6,3.75,2.9,4.85,2.7,4.05,2.55,2.65,2.25,2.8,3.3
u0003,kg,3.55,9.5,5.45,4.75,7.9,4.4,7.65,6.6,5.45,5.9,2.8,7.9,4.6,5.25,8.25,2.7,8.9
u0004,kg,4.8,5.65,3.8,6.65,2.7,5.45,6.25,0.8,5.8,6.3,3.25,4.9,3.75,8.3,5.6,1.15,6.45
u0005,kg,4.2,0.55,5.65,4.35,1.35,3.2,2.15,2.5,3.95,4.3,4.45,1.6,1.3,3.05,1.3,4.85,2.15
u0006,kg,3.3,0,3.5,0.95,1.05,0,4.8,8.45,37.75,1.4,0,3.5,0,0,1.65,2.5,0
u0007,kg,5.8,6.35,2.5,5.6,5.15,6.5,4.6,4,7.2,3.15,0.7,7.25,3.4,4.95,3,4.05,8.2
u0008,kg,3.2,1.9,4,3.7,0.65,3.75,3.6,3,4.3,2.6,3.75,2.6,2.7,3.8,5.3,4.3,1.3
u0009,kg,0,0,0.8,0,0.15,0,0,2.9,0.9,2.25,4.05,0.5,1.05,1.6,3.2,0,1.45
u0010,bottle,1,3,2,4,1,3,1,3,8,4,1,3,1,3,1,4,1
u0011,pack,7,5,3,6,4,7,5,3,5,4,2,7,5,6,5,3,8
u0012,bottle,16,14,19,27,22,29,26,20,30,25,21,21,24,30,18,6,17
u0013,can,0,1,3,1,3,1,4,1,3,1,3,1,3,1,3,1,3
u0014,litre,1.65,4.45,2.1,3.5,3.6,6.1,2.75,5.25,2,4.6,1.65,5.4,1.8,5,3.35,5.15,3.35
u0015,pack,5,7,4,8,5,8,6,5,6,7,4,9,5,8,7,5,8
u0016,kg,4.65,4.3,2.25,8.25,5.85,7.75,5.9,2.15,5.85,4.85,2.9,6.3,4.55,7.25,4.95,3.3,5.85
u0017,pack,1,1,2,1,1,1,1,3,1,0,3,1,3,1,3,1,1
u0018,pack,8,8,9,5,5,7,5,9,7,5,9,7,5,7,5,9,6
u0019,item,0,1,3,0,1,1,1,11,23,1,3,1,3,1,3,2,1
u0020,pack,3,4,1,3,1,4,1,7,15,2,1,3,2,3,1,3,1
u0021,pack,1,1,1,1,3,1,3,1,2,2,1,3,1,1,3,1,3
u0022,pack,1,2,1,3,1,3,1,1,5,3,1,3,1,3,2,4,2
